respondent_id,age,county,primary_preference,app_interest,weekend_preference,monthly_activity_budget
1,33,Miami-Dade County,Fitness,Low,Nighttime,392
2,34,Miami-Dade County,Fitness,Low,Daytime,387
3,32,Miami-Dade County,Fitness,High,Daytime,216
4,34,Miami-Dade County,Fitness,Low,Nighttime,261
5,34,Miami-Dade County,Fitness,High,Both,80
6,31,Miami-Dade County,Fitness,Medium,Daytime,123
7,32,Miami-Dade County,Fitness,High,Nighttime,306
8,32,Miami-Dade County,Trips Outside Miami,Low,Daytime,177
9,32,Miami-Dade County,Fitness,Low,Both,287
10,34,Miami-Dade County,Beach,Medium,Daytime,344
11,33,Miami-Dade County,Beach,Medium,Both,367
12,32,Miami-Dade County,Nightlife,High,Daytime,350
13,35,Miami-Dade County,Fitness,High,Daytime,219
14,34,Miami-Dade County,Beach,High,Daytime,316
15,31,Miami-Dade County,Nightlife,High,Daytime,151
16,33,Miami-Dade County,Trips Outside Miami,Medium,Nighttime,234
17,35,Miami-Dade County,Trips Outside Miami,High,Daytime,269
18,35,Miami-Dade County,Fitness,Low,Both,347
19,31,Miami-Dade County,Fitness,Medium,Daytime,400
20,33,Miami-Dade County,Day Weekend Activities,Medium,Daytime,186
21,34,Miami-Dade County,Nightlife,High,Daytime,311
22,30,Miami-Dade County,Beach,Low,Daytime,121
23,33,Miami-Dade County,Day Weekend Activities,Low,Daytime,269
24,31,Miami-Dade County,Fitness,High,Daytime,218
25,35,Miami-Dade County,Trips Outside Miami,Medium,Daytime,182
26,34,Miami-Dade County,Fitness,Medium,Daytime,250
27,33,Miami-Dade County,Beach,High,Nighttime,352
28,30,Miami-Dade County,Beach,High,Nighttime,300
29,30,Miami-Dade County,Beach,High,Daytime,292
30,32,Miami-Dade County,Fitness,High,Daytime,135
31,32,Miami-Dade County,Fitness,High,Both,181
32,31,Miami-Dade County,Day Weekend Activities,High,Nighttime,271
33,33,Miami-Dade County,Fitness,High,Nighttime,389
34,33,Miami-Dade County,Day Weekend Activities,High,Daytime,279
35,35,Miami-Dade County,Fitness,Low,Both,312
36,35,Miami-Dade County,Beach,High,Both,306
37,35,Miami-Dade County,Beach,Low,Nighttime,218
38,32,Miami-Dade County,Fitness,High,Both,384
39,33,Miami-Dade County,Beach,High,Daytime,228
40,33,Miami-Dade County,Fitness,High,Daytime,194
41,30,Miami-Dade County,Fitness,High,Both,142
42,32,Miami-Dade County,Nightlife,High,Both,183
43,34,Miami-Dade County,Beach,Medium,Daytime,235
44,32,Miami-Dade County,Trips Outside Miami,High,Daytime,352
45,34,Miami-Dade County,Fitness,Medium,Daytime,85
46,30,Miami-Dade County,Day Weekend Activities,Medium,Daytime,226
47,31,Miami-Dade County,Trips Outside Miami,High,Both,263
48,33,Miami-Dade County,Day Weekend Activities,High,Nighttime,107
49,30,Miami-Dade County,Beach,Medium,Daytime,117
50,33,Miami-Dade County,Beach,High,Daytime,198
51,35,Miami-Dade County,Beach,High,Daytime,372
52,31,Miami-Dade County,Nightlife,Low,Daytime,323
